name,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020
Plymouth Massachusetts,+0,+7,+32,+37,+37,+49,+85,+53,+55,+79,+102,+60,+124,+153,+65,+104,+127,+133,+180,+170,+132,+215,+117,+66,+101,+158,+111,+111,+144,+0,+211
Prince George's Maryland,+0,+7,+16,+13,+25,+47,+48,+51,+47,+47,+62,+70,+90,+90,+132,+131,+104,+290,+166,+240,+207,+112,+170,+151,+160,+206,+244,+194,+185,+238,+151
Providence Rhode Island,+0,+15,+0,+0,+39,+0,+0,+65,+0,+52,+93,+117,+0,+0,+73,+47,+84,+210,+0,+123,+323,+0,+0,+0,+679,+115,+631,+0,+311,+477,+236
Riverside California,+0,+17,+11,+11,+37,+44,+34,+12,+96,+80,+0,+122,+0,+145,+161,+147,+70,+163,+101,+70,+81,+188,+0,+342,+0,+144,+352,+0,+181,+209,+0
Rockland New York,+0,+137,+79,+297,+229,+260,+439,+313,+302,+352,+458,+430,+538,+583,+454,+377,+287,+423,+252,+457,+355,+244,+244,+370,+139,+278,+235,+184,+193,+93,+111
Salt Lake Utah,+0,+29,+15,+27,+27,+40,+58,+45,+39,+36,+0,+80,+65,+109,+91,+36,+30,+51,+0,+153,+60,+55,+31,+30,+98,+92,+79,+91,+68,+56,+43
San Bernardino California,+0,+0,+14,+7,+16,+0,+22,+0,+35,+14,+58,+71,+50,+49,+19,+1,+157,+17,+94,+88,+81,+0,+77,+90,+0,+19,+36,+187,+67,+120,+83
San Diego California,+0,+46,+25,+12,+55,+48,+72,+71,+31,+88,+130,+116,+117,+146,+97,+117,+78,+50,+76,+98,+65,+68,+43,+43,+83,+82,+75,+71,+55,+55,+57
San Francisco California,+0,+23,+21,+26,+45,+56,+29,+32,+34,+23,+37,+16,+47,+32,+39,+15,+39,+54,+48,+73,+60,+15,+85,+30,+26,+6,+39,+79,+20,+59,+15
Santa Clara California,+0,+39,+73,+84,+83,+32,+17,+55,+202,+42,+66,+63,+0,+129,+59,+0,+78,+95,+0,+62,+42,+82,+100,+0,+127,+40,+37,+0,+0,+52,+0
Shelby Tennessee,+0,+27,+42,+35,+28,+25,+52,+87,+34,+32,+68,+142,+2,+49,+47,+30,+69,+77,+94,+77,+64,+68,+116,+28,+0,+149,+-16,+190,+96,+61,+34
Snohomish Washington,+0,+39,+95,+20,+144,+134,+1,+-1,+156,+161,+75,+72,+0,+127,+56,+44,+56,+36,+50,+57,+33,+32,+40,+43,+38,+44,+24,+37,+50,+20,+26
Somerset New Jersey,+0,+16,+35,+15,+62,+43,+36,+37,+54,+64,+59,+77,+92,+124,+68,+69,+131,+127,+175,+188,+119,+90,+77,+102,+90,+102,+92,+88,+101,+104,+0
St. Louis Missouri,+0,+47,+31,+29,+44,+74,+66,+23,+30,+126,+113,+107,+0,+152,+0,+169,+170,+0,+99,+196,+70,+65,+91,+127,+0,+175,+62,+75,+72,+54,+60
St. Tammany Louisiana,+0,+25,+5,+15,+22,+22,+23,+4,+48,+34,+50,+129,+36,+97,+28,+77,+63,+33,+44,+48,+20,+19,+17,+17,+26,+20,+17,+26,+24,+46,+10
Suffolk Massachusetts,+0,+28,+80,+108,+106,+183,+212,+97,+175,+258,+251,+272,+287,+246,+229,+271,+316,+355,+441,+493,+392,+433,+220,+293,+407,+541,+452,+424,+378,+0,+595
